order_id,order_datetime,order_date,order_hour,customer_phone,product_name,category,quantity,unit_price,unit_cost,total_price,discount_pct,device,utm_campaign,order_status
1000,2023-09-23 21:34:00,2023-09-23,21,09810026086,کرم مرطوب‌کننده روزانه,مراقبت پوست,1,280000,150000,280000,0.0,desktop,g_brand,completed
1001,2023-09-23 20:55:00,2023-09-23,20,09870854579,شامپو ترمیم‌کننده,مراقبت مو,3,300000,160000,900000,0.0,desktop,g_brand,completed
1001,2023-09-23 20:55:00,2023-09-23,20,09870854579,اسپری حالت‌دهنده مو,مراقبت مو,2,200000,100000,400000,0.0,desktop,g_brand,completed
1002,2023-09-23 07:51:00,2023-09-23,7,09153839920,اسپری حالت‌دهنده مو,مراقبت مو,1,200000,100000,200000,0.0,desktop,g_generic,completed
1002,2023-09-23 07:51:00,2023-09-23,7,09153839920,کرم پودر مات کننده,آرایشی,1,285000,200000,285000,0.25,desktop,g_generic,completed
1002,2023-09-23 07:51:00,2023-09-23,7,09153839920,خط چشم ضد آب,آرایشی,1,200000,110000,200000,0.0,desktop,g_generic,completed
1003,2023-09-23 15:19:00,2023-09-23,15,09501486939,سرم ویتامین C,مراقبت پوست,3,450000,220000,1350000,0.0,mobile,g_generic,completed
1004,2023-09-23 18:25:00,2023-09-23,18,09108399996,رژ لب مات قرمز,آرایشی,1,260000,140000,260000,0.0,mobile,email_newsletter,completed
1004,2023-09-23 18:25:00,2023-09-23,18,09108399996,خط چشم ضد آب,آرایشی,1,200000,110000,200000,0.0,mobile,email_newsletter,completed
1004,2023-09-23 18:25:00,2023-09-23,18,09108399996,کرم مرطوب‌کننده روزانه,مراقبت پوست,3,196000,150000,588000,0.3,mobile,email_newsletter,completed
1004,2023-09-23 18:25:00,2023-09-23,18,09108399996,عطر مردانه ۵۰ میل,عطر و ادکلن,1,487500,350000,487500,0.25,mobile,email_newsletter,completed
1005,2023-09-23 00:59:00,2023-09-23,0,09153839920,شامپو ترمیم‌کننده,مراقبت مو,1,300000,160000,300000,0.0,mobile,email_newsletter,cancelled
1005,2023-09-23 00:59:00,2023-09-23,0,09153839920,اسپری حالت‌دهنده مو,مراقبت مو,1,200000,100000,200000,0.0,mobile,email_newsletter,cancelled
1006,2023-09-23 20:46:00,2023-09-23,20,09739830322,پالت سایه ۱۲ رنگ,آرایشی,1,300000,250000,300000,0.4,mobile,ig_influencer,completed
1007,2023-09-23 21:43:00,2023-09-23,21,09355555531,پالت سایه ۱۲ رنگ,آرایشی,1,500000,250000,500000,0.0,mobile,g_generic,completed
1007,2023-09-23 21:43:00,2023-09-23,21,09355555531,ادکلن اسپرت ۱۰۰ میل,عطر و ادکلن,1,550000,280000,550000,0.0,mobile,g_generic,completed
1008,2023-09-23 14:43:00,2023-09-23,14,09574417266,رژ لب مات قرمز,آرایشی,1,260000,140000,260000,0.0,mobile,g_generic,completed
1008,2023-09-23 14:43:00,2023-09-23,14,09574417266,سرم ویتامین C,مراقبت پوست,1,382500,220000,382500,0.15,mobile,g_generic,completed
1009,2023-09-23 18:14:00,2023-09-23,18,09327416584,سرم ویتامین C,مراقبت پوست,1,450000,220000,450000,0.0,mobile,g_generic,completed
1009,2023-09-23 18:14:00,2023-09-23,18,09327416584,روغن مو طبیعی,مراقبت مو,1,180000,90000,180000,0.0,mobile,g_generic,completed
1010,2023-09-23 15:15:00,2023-09-23,15,09645276696,شوینده صورت ژله‌ای,مراقبت پوست,1,200000,120000,200000,0.0,mobile,g_generic,completed
1010,2023-09-23 15:15:00,2023-09-23,15,09645276696,اسپری حالت‌دهنده مو,مراقبت مو,1,170000,100000,170000,0.15,mobile,g_generic,completed
1010,2023-09-23 15:15:00,2023-09-23,15,09645276696,کرم پودر مات کننده,آرایشی,2,323000,200000,646000,0.15,mobile,g_generic,completed
1011,2023-09-23 20:42:00,2023-09-23,20,09240466536,روغن مو طبیعی,مراقبت مو,1,180000,90000,180000,0.0,tablet,email_newsletter,completed
1011,2023-09-23 20:42:00,2023-09-23,20,09240466536,عطر زنانه ۳۰ میل,عطر و ادکلن,1,562500,400000,562500,0.25,tablet,email_newsletter,completed
1012,2023-09-23 15:48:00,2023-09-23,15,09142672287,کرم پودر مات کننده,آرایشی,1,304000,200000,304000,0.2,desktop,g_generic,completed
1013,2023-09-23 09:21:00,2023-09-23,9,09930075810,تونر گل رز,مراقبت پوست,1,135000,90000,135000,0.25,desktop,ig_influencer,completed
1014,2023-09-23 11:29:00,2023-09-23,11,09786066793,کرم ضد آفتاب SPF50,مراقبت پوست,1,320000,180000,320000,0.0,mobile,ig_story_ads,completed
1014,2023-09-23 11:29:00,2023-09-23,11,09786066793,ماسک مو روغن آرگان,مراقبت مو,1,250000,130000,250000,0.0,mobile,ig_story_ads,completed
1014,2023-09-23 11:29:00,2023-09-23,11,09786066793,عطر مردانه ۵۰ میل,عطر و ادکلن,3,650000,350000,1950000,0.0,mobile,ig_story_ads,completed
1015,2023-09-23 19:34:00,2023-09-23,19,09899925830,کرم ضد آفتاب SPF50,مراقبت پوست,1,320000,180000,320000,0.0,desktop,email_newsletter,completed
1016,2023-09-23 20:46:00,2023-09-23,20,09305718272,ماسک مو روغن آرگان,مراقبت مو,1,250000,130000,250000,0.0,desktop,g_generic,cancelled
1017,2023-09-23 06:27:00,2023-09-23,6,09790256940,رژ لب مایع nude,آرایشی,1,240000,130000,240000,0.0,desktop,g_generic,completed
1018,2023-09-23 21:17:00,2023-09-23,21,09210053353,کرم مرطوب‌کننده روزانه,مراقبت پوست,1,168000,150000,168000,0.4,mobile,ig_story_ads,completed
1018,2023-09-23 21:17:00,2023-09-23,21,09210053353,شامپو ترمیم‌کننده,مراقبت مو,1,255000,160000,255000,0.15,mobile,ig_story_ads,completed
1019,2023-09-23 08:01:00,2023-09-23,8,09536383774,رژ لب مایع nude,آرایشی,1,240000,130000,240000,0.0,mobile,email_newsletter,completed
1020,2023-09-23 13:38:00,2023-09-23,13,09142672287,پالت سایه ۱۲ رنگ,آرایشی,1,500000,250000,500000,0.0,tablet,email_newsletter,completed
1020,2023-09-23 13:38:00,2023-09-23,13,09142672287,شوینده صورت ژله‌ای,مراقبت پوست,1,200000,120000,200000,0.0,tablet,email_newsletter,completed
1021,2023-09-23 13:45:00,2023-09-23,13,09581695135,پالت سایه ۱۲ رنگ,آرایشی,2,500000,250000,1000000,0.0,mobile,g_generic,completed
1022,2023-09-23 06:36:00,2023-09-23,6,09875340444,ریمل حجم‌دهنده,آرایشی,1,190000,100000,190000,0.0,mobile,g_brand,completed
1023,2023-09-23 15:27:00,2023-09-23,15,09810678904,رژ لب مات قرمز,آرایشی,1,260000,140000,260000,0.0,mobile,ig_influencer,completed
1024,2023-09-23 09:51:00,2023-09-23,9,09177892576,خط چشم ضد آب,آرایشی,2,200000,110000,400000,0.0,desktop,email_newsletter,completed
1024,2023-09-23 09:51:00,2023-09-23,9,09177892576,ریمل حجم‌دهنده,آرایشی,1,190000,100000,190000,0.0,desktop,email_newsletter,completed
1025,2023-09-23 09:29:00,2023-09-23,9,09734036506,ریمل حجم‌دهنده,آرایشی,1,190000,100000,190000,0.0,mobile,email_newsletter,completed
1026,2023-09-23 20:21:00,2023-09-23,20,09678722458,عطر زنانه ۳۰ میل,عطر و ادکلن,2,450000,400000,900000,0.4,desktop,ig_influencer,completed
1027,2023-09-23 14:35:00,2023-09-23,14,09528414718,کرم ضد آفتاب SPF50,مراقبت پوست,1,320000,180000,320000,0.0,mobile,g_generic,completed
1028,2023-09-23 18:19:00,2023-09-23,18,09831980933,ادکلن اسپرت ۱۰۰ میل,عطر و ادکلن,1,550000,280000,550000,0.0,mobile,email_newsletter,completed
1029,2023-09-23 09:16:00,2023-09-23,9,09234031070,رژ لب مات قرمز,آرایشی,1,260000,140000,260000,0.0,mobile,g_generic,completed
1029,2023-09-23 09:16:00,2023-09-23,9,09234031070,رژ لب مایع nude,آرایشی,1,240000,130000,240000,0.0,mobile,g_generic,completed
1030,2023-09-23 16:18:00,2023-09-23,16,09415143362,کرم ضد آفتاب SPF50,مراقبت پوست,1,288000,180000,288000,0.1,desktop,g_brand,completed
1031,2023-09-23 22:35:00,2023-09-23,22,09424825305,شوینده صورت ژله‌ای,مراقبت پوست,1,200000,120000,200000,0.0,mobile,ig_influencer,completed
1031,2023-09-23 22:35:00,2023-09-23,22,09424825305,کرم ضد آفتاب SPF50,مراقبت پوست,1,288000,180000,288000,0.1,mobile,ig_influencer,completed
1032,2023-09-23 09:55:00,2023-09-23,9,09528414718,کرم مرطوب‌کننده روزانه,مراقبت پوست,1,280000,150000,280000,0.0,mobile,ig_story_ads,completed
1033,2023-09-23 22:05:00,2023-09-23,22,09205675387,کرم پودر مات کننده,آرایشی,1,380000,200000,380000,0.0,mobile,g_generic,completed
1034,2023-09-23 21:19:00,2023-09-23,21,09366992705,شوینده صورت ژله‌ای,مراقبت پوست,2,200000,120000,400000,0.0,tablet,email_newsletter,completed
1035,2023-09-23 08:42:00,2023-09-23,8,09965241839,اسپری حالت‌دهنده مو,مراقبت مو,1,200000,100000,200000,0.0,mobile,g_brand,completed
1036,2023-09-23 10:14:00,2023-09-23,10,09922308461,کرم پودر مات کننده,آرایشی,2,380000,200000,760000,0.0,desktop,ig_influencer,completed
1037,2023-09-23 17:42:00,2023-09-23,17,09690907304,خط چشم ضد آب,آرایشی,2,170000,110000,340000,0.15,mobile,g_generic,completed
1038,2023-09-23 19:38:00,2023-09-23,19,09384602384,ماسک مو روغن آرگان,مراقبت مو,1,250000,130000,250000,0.0,desktop,email_newsletter,completed
1038,2023-09-23 19:38:00,2023-09-23,19,09384602384,خط چشم ضد آب,آرایشی,1,150000,110000,150000,0.25,desktop,email_newsletter,completed
1039,2023-09-23 19:38:00,2023-09-23,19,09329509408,کرم ضد آفتاب SPF50,مراقبت پوست,1,320000,180000,320000,0.0,mobile,ig_influencer,completed
1039,2023-09-23 19:38:00,2023-09-23,19,09329509408,خط چشم ضد آب,آرایشی,1,200000,110000,200000,0.0,mobile,ig_influencer,completed
